mirna_1	mirna_2	free energy/kcal
hsa-miR-103b,hsa-miR-107,-36.2999992371
hsa-miR-28,hsa-miR-151a,-32.0999984741
hsa-miR-16-2,hsa-miR-195,-26.7000007629
hsa-miR-28,hsa-miR-151b,-26.3999996185
hsa-miR-874,hsa-miR-23a,-24.6000003815
hsa-miR-16-1,hsa-miR-195,-24.3999996185
hsa-miR-98,hsa-let-7a,-23.8999996185
hsa-miR-98,hsa-let-7b,-23.6000003815
hsa-miR-98,hsa-let-7c,-23.6000003815
hsa-miR-885,hsa-let-7d,-23.0
hsa-miR-194,hsa-miR-139,-22.7000007629
hsa-miR-193a,hsa-miR-874,-22.2000007629
hsa-miR-103a-2,hsa-miR-107,-22.0
hsa-miR-16,hsa-miR-195,-21.8999996185
hsa-miR-377,hsa-miR-381,-21.3999996185
hsa-miR-103b,hsa-miR-486,-21.0
hsa-miR-16-1,hsa-miR-885,-20.8999996185
hsa-miR-15a,hsa-let-7b,-20.5
hsa-miR-15a,hsa-let-7c,-20.5
hsa-miR-195,hsa-miR-139,-20.3999996185
hsa-miR-195,hsa-miR-28,-20.3999996185
hsa-miR-100,hsa-miR-99a,-20.1000003815
hsa-miR-378a,hsa-miR-23a,-20.0
hsa-miR-28,hsa-miR-151a,-20.0
hsa-let-7b,hsa-miR-885,-19.8999996185
hsa-miR-193b,hsa-miR-320a,-19.7999992371
hsa-miR-98,hsa-let-7e,-19.7000007629
hsa-miR-191,hsa-miR-23a,-19.7000007629
hsa-miR-15a,hsa-miR-486,-19.6000003815
hsa-miR-193b,hsa-miR-320b,-19.6000003815
hsa-miR-103a,hsa-miR-486,-19.3999996185
hsa-miR-98,hsa-let-7d,-19.3999996185
hsa-miR-107,hsa-miR-486,-19.3999996185
hsa-miR-486,hsa-miR-24,-19.3999996185
hsa-miR-98,hsa-let-7b,-19.2999992371
hsa-miR-193b,hsa-miR-25,-19.2999992371
hsa-miR-23b,hsa-miR-223,-19.2000007629
hsa-miR-103a,hsa-miR-143,-19.1000003815
hsa-miR-107,hsa-miR-143,-19.1000003815
hsa-miR-486,hsa-miR-23a,-19.1000003815
hsa-miR-16-2,hsa-miR-885,-19.0
hsa-miR-98,hsa-let-7d,-19.0
hsa-miR-21,hsa-miR-27b,-18.8999996185
hsa-miR-139,hsa-miR-143,-18.8999996185
hsa-miR-16,hsa-miR-15a,-18.7000007629
hsa-miR-194,hsa-miR-874,-18.7000007629
hsa-miR-195,hsa-miR-151a,-18.7000007629
hsa-miR-195,hsa-miR-151b,-18.7000007629
hsa-miR-486,hsa-let-7g,-18.7000007629
hsa-miR-194,hsa-miR-199a,-18.6000003815
hsa-miR-185,hsa-miR-139,-18.6000003815
hsa-miR-27a,hsa-miR-17,-18.6000003815
hsa-miR-15a,hsa-miR-885,-18.5
hsa-miR-103b,hsa-miR-320b,-18.3999996185
hsa-miR-885,hsa-miR-425,-18.3999996185
hsa-miR-103b,hsa-miR-320a,-18.2999992371
hsa-miR-185,hsa-miR-486,-18.2999992371
hsa-miR-139,hsa-miR-143,-18.2999992371
hsa-miR-15a,hsa-miR-29b-2,-18.2000007629
hsa-miR-193b,hsa-miR-874,-18.2000007629
hsa-miR-100,hsa-miR-99b,-18.1000003815
hsa-miR-195,hsa-miR-15a,-18.1000003815
hsa-miR-378e,hsa-miR-874,-18.1000003815
hsa-miR-874,hsa-miR-99b,-18.0
hsa-miR-125b-1,hsa-miR-99a,-18.0
hsa-miR-195,hsa-miR-885,-17.8999996185
hsa-miR-21,hsa-miR-30a,-17.7999992371
hsa-miR-185,hsa-miR-28,-17.7999992371
hsa-miR-98,hsa-let-7f,-17.7000007629
hsa-let-7b,hsa-miR-885,-17.5
hsa-miR-195,hsa-miR-486,-17.3999996185
hsa-miR-378f,hsa-miR-193b,-17.3999996185
hsa-miR-194,hsa-miR-185,-17.2999992371
hsa-miR-21,hsa-miR-30d,-17.2999992371
hsa-miR-125b-1,hsa-miR-28,-17.2999992371
hsa-miR-16-1,hsa-miR-22,-17.2000007629
hsa-miR-15a,hsa-miR-107,-17.2000007629
hsa-miR-378a,hsa-miR-874,-17.2000007629
hsa-miR-378f,hsa-miR-24,-17.2000007629
hsa-miR-193b,hsa-miR-320c,-17.2000007629
hsa-miR-885,hsa-miR-92a,-17.2000007629
hsa-miR-103a-2,hsa-miR-16,-17.1000003815
hsa-miR-505,hsa-miR-15b,-17.1000003815
hsa-miR-505,hsa-miR-139,-17.1000003815
hsa-miR-139,hsa-miR-885,-17.1000003815
hsa-miR-30d,hsa-miR-23a,-17.1000003815
hsa-let-7e,hsa-miR-320a,-17.1000003815
hsa-miR-103a-2,hsa-miR-486,-17.0
hsa-miR-103a-2,hsa-miR-885,-17.0
